# The 2MASS Redshift Survey
# Huchra et al., ApJS, in press
#
# http://tdc-www.harvard.edu/2mrs/
# catalog version 2.4, 2011 Dec 16
# maintained by Lucas Macri, lmacri@tamu.edu
#
# Code "M": The NED query by 2MASS ID returned a match with no redshift, but a query by position (tolerance=1.3 arcminutes) returned a match with a redshift. Contents presented in Table A5 in paper.
#
#2MASS_ID        NED_ID                         RA          DEC        TYPE   NED_CZ QUAL NED_BIBCODE         NED_ALT_ENTRY                  RA           DEC       TYPE   NED_CZ  SEP NED_BIBCODE         CZ_ERR
00014401-3025082|2MASX J00014401-3025082       |00h01m44.0s -30d25m08s|IrS   |      |    |                   |ESO 409- G 002                |00h01m43.9s -30d25m08s|G     |  8604| 0.0|20032dF...C...0000C|  64
00062997-3218179|2MASX J00062997-3218179       |00h06m30.0s -32d18m18s|G     |      |    |                   |ESO 349- G 029                |00h06m30.0s -32d18m18s|G     | 13531| 0.0|1998MNRAS.300..417R| 150
00072080-2807072|2MASX J00072080-2807072       |00h07m20.8s -28d07m07s|G     |      |    |                   |ESO 409-IG 021 NED01          |00h07m21.2s -28d07m18s|G     | 18048| 0.2|1998AJ....116....1D|  54
00084652-3100399|2MASX J00084652-3100399       |00h08m46.5s -31d00m40s|IrS   |      |    |                   |2dFGRS S434Z196               |00h08m46.6s -31d00m40s|G     | 16609| 0.0|20032dF...C...0000C|  89
00105717-3512292|2MASX J00105717-3512292       |00h10m57.2s -35d12m29s|IrS   |      |    |                   |ESO 349- G 037                |00h10m57.0s -35d12m29s|G     | 14910| 0.0|1986MNRAS.220..901P|  30
00135592+0342508|2MASX J00135592+0342508       |00h13m55.9s +03d42m51s|G     |      |    |                   |UGC 00129                     |00h13m55.9s +03d42m51s|G     | 11802| 0.0|1999ApJS..121..287H|  32
00150718-2912377|2MASX J00150718-2912377       |00h15m07.2s -29d12m38s|IrS   |      |    |                   |2dFGRS S279Z269               |00h15m07.1s -29d12m40s|G     |  7675| 0.0|20032dF...C...0000C|  64
00181767+1714511|2MASX J00181767+1714511       |00h18m17.7s +17d14m51s|IrS   |      |    |                   |IRAS 00156+1658               |00h18m17.8s +17d14m49s|G     |  5757| 0.0|2003A&A...412...57P|  10
00253146-3302458|2MASX J00253146-3302458       |00h25m31.5s -33d02m46s|IrS   |      |    |                   |2dFGRS S498Z083               |00h25m31.4s -33d02m48s|G     | 14900| 0.0|20032dF...C...0000C|  64
00284573-3224236|2MASX J00284573-3224236       |00h28m45.7s -32d24m24s|IrS   |      |    |                   |ESO 350- G 020                |00h28m45.7s -32d24m21s|G     | 13761| 0.0|1991ApJS...75..935d|  27
00315278-8120574|2MASX J00315278-8120574       |00h31m52.8s -81d20m58s|G     |      |    |                   |ESO 012-IG 018                |00h31m54.3s -81d20m57s|G     |  8394| 0.0|1991MNRAS.248..528A| 300
00324503-3310151|2MASX J00324503-3310151       |00h32m45.0s -33d10m15s|IrS   |      |    |                   |2dFGRS S500Z137               |00h32m45.0s -33d10m15s|G     | 14810| 0.0|20032dF...C...0000C|  64
00354637-2829042|2MASX J00354637-2829042       |00h35m46.4s -28d29m04s|IrS   |      |    |                   |2dFGRS S284Z026               |00h35m46.4s -28d29m04s|G     |  7075| 0.0|20032dF...C...0000C|  64
