# The 2MASS Redshift Survey
# Huchra et al., ApJS, in press
#
# http://tdc-www.harvard.edu/2mrs/
# catalog version 2.4, 2011 Dec 16
# maintained by Lucas Macri, lmacri@tamu.edu
#
# Code "C/F/D": 6dF redshifts not used; preference given to measurements from 2MRS ([C]TIO, [F]LWO, Mc[D]onald).
#
#2MASS_ID        6dF_ID           6dF_V ERR 2MRS_V ERR CD 2MRS_BIBCODE
00021610-2926230|g0002161-292623| 18334| 45| 18213| 40|C |20112MRS.CTIO.0000H
00023474-2948240|g0002348-294824| 17753| 45| 17766| 31|C |20112MRS.CTIO.0000H
00032067-3008493|g0003207-300849| 20304| 45| 20407| 38|C |20112MRS.CTIO.0000H
00070925-2550122|g0007092-255012| 19118| 45| 18975| 77|C |20112MRS.CTIO.0000H
00091024-2647012|g0009102-264701| 19139| 45| 18982| 38|C |20112MRS.CTIO.0000H
00115036-2518433|g0011504-251844| 19380| 45| 19421| 41|C |20112MRS.CTIO.0000H
00172425-3449344|g0017243-344935| 19389| 45| 19307| 33|C |20112MRS.CTIO.0000H
00385919-2219519|g0038592-221952| 19413| 45| 19400| 34|F |20112MRS.FLWO.0000H
00395695-3417088|g0039570-341709| 11643| 45| 11618| 25|C |20112MRS.CTIO.0000H
00464070-2753545|g0046407-275354| 18080| 45| 18244| 54|C |20112MRS.CTIO.0000H
01230551-3130005|g0123055-313001|  9243| 45|  9211| 38|C |20112MRS.CTIO.0000H
01301197-3254132|g0130120-325413| 20536| 45| 20586| 46|C |20112MRS.CTIO.0000H
01361481-2606298|g0136148-260630| 23822| 45| 23835| 39|C |20112MRS.CTIO.0000H
01404486-2515575|g0140449-251558| 15291| 45| 15415| 63|C |20112MRS.CTIO.0000H
01481275-3405309|g0148128-340531| 15293| 45| 15261| 35|C |20112MRS.CTIO.0000H
01500567-2715588|g0150057-271559| 16599| 45| 16593| 38|C |20112MRS.CTIO.0000H
01502909-2621148|g0150291-262115| 18221| 45| 18206| 45|C |20112MRS.CTIO.0000H
02024627-3416343|g0202463-341635| 30407| 45| 30449| 51|C |20112MRS.CTIO.0000H
02114316-2513046|g0211432-251305|  9516| 45|  9474| 19|C |20112MRS.CTIO.0000H
02141139-3027377|g0214114-302738| 19769| 45| 19636| 33|C |20112MRS.CTIO.0000H
02191540-3352483|g0219154-335248| 20366| 31| 20346| 31|C |20112MRS.CTIO.0000H
02202244-2757157|g0220224-275716| 23971| 31| 23920| 30|C |20112MRS.CTIO.0000H
02303258-3300528|g0230326-330053| 23350| 45| 23186| 51|C |20112MRS.CTIO.0000H
02585420-2501513|g0258542-250151| 33050| 45| 33084| 40|C |20112MRS.CTIO.0000H
03201788-3109501|g0320179-310950| 20434| 45| 20371| 36|C |20112MRS.CTIO.0000H
03221579-2531264|g0322158-253127| 12956| 45| 12935| 29|C |20112MRS.CTIO.0000H
03243656-3406126|g0324366-340613| 15321| 45| 15578| 26|C |20112MRS.CTIO.0000H
03292468-2500441|g0329247-250044| 12154| 45| 12101| 30|C |20112MRS.CTIO.0000H
03340656-3354319|g0334066-335432| 28137| 45| 27936| 81|C |20112MRS.CTIO.0000H
03341957-2653169|g0334196-265317| 13150| 45| 13096| 30|C |20112MRS.CTIO.0000H
03362261-3144455|g0336226-314446| 11672| 45| 11637| 30|C |20112MRS.CTIO.0000H
03362402-2539479|g0336241-253948| 14618| 45| 14554| 25|C |20112MRS.CTIO.0000H
03373728-2903075|g0337373-290307| 21104| 45| 20743| 44|C |20112MRS.CTIO.0000H
03414540-2807277|g0341454-280728| 12363| 45| 12273| 24|C |20112MRS.CTIO.0000H
03423711-2634236|g0342371-263424| 20082| 45| 20013| 36|C |20112MRS.CTIO.0000H
03424228-2527436|g0342423-252744| 17303| 45| 17372| 28|C |20112MRS.CTIO.0000H
03431198-2758482|g0343120-275848| 17694| 45| 17655| 27|C |20112MRS.CTIO.0000H
03433035-2530353|g0343304-253036| 17161| 45| 17148| 33|C |20112MRS.CTIO.0000H
03445832-2641146|g0344583-264115| 20157| 45| 20104| 44|C |20112MRS.CTIO.0000H
03470672-3148484|g0347067-314848| 22045| 45| 22007| 70|C |20112MRS.CTIO.0000H
03483091-3214199|g0348309-321420| 21679| 45| 21652| 27|C |20112MRS.CTIO.0000H
03483928-2529491|g0348393-252949| 20877| 45| 20848| 34|C |20112MRS.CTIO.0000H
03490520-2533219|g0349052-253322| 20535| 45| 20463| 44|C |20112MRS.CTIO.0000H
03494816-3047169|g0349482-304717| 27813| 45| 27699| 48|C |20112MRS.CTIO.0000H
03521642-3207234|g0352164-320723|  9982| 45|  9934| 28|C |20112MRS.CTIO.0000H
03523961-3120115|g0352396-312012| 12844| 31| 12683| 40|C |20112MRS.CTIO.0000H
03532637-2610129|g0353264-261013| 20854| 45| 20898| 34|C |20112MRS.CTIO.0000H
03541017-2650139|g0354102-265014| 19492| 31| 19504| 39|C |20112MRS.CTIO.0000H
05471906-0858496|g0547191-085850|  3329| 45|  3327|  8|F |20112MRS.FLWO.0000H
10360692-1243120|g1036069-124312| 16217| 55| 15583| 38|C |20112MRS.CTIO.0000H
10503444-1251152|g1050344-125116|  4458| 45|  4241| 66|C |20112MRS.CTIO.0000H
10573632-3526044|g1057363-352604|  9020| 45|  9030| 69|C |20112MRS.CTIO.0000H
10581015-7737589|g1058102-773759|  5398| 45|  5268| 41|C |20112MRS.CTIO.0000H
11155288-1222444|g1115529-122244| 19789| 45| 19848| 51|C |20112MRS.CTIO.0000H
11425958-1141198|g1142596-114120|  8349| 45|  8269| 32|C |20112MRS.CTIO.0000H
12165996-2612358|g1216600-261236| 11831| 45| 11693| 10|C |20112MRS.CTIO.0000H
12192155-0041221|g1219216-004122| 20550| 45| 20608| 32|F |20112MRS.FLWO.0000H
12203827-1251319|g1220383-125132| 14333| 45| 14172| 46|C |20112MRS.CTIO.0000H
12443619-1159394|g1244362-115940| 28522| 45| 28451| 79|C |20112MRS.CTIO.0000H
12540910-0115272|g1254091-011527| 14116| 45| 14211| 53|D |20112MRS.McDo.0000H
13275686-4107486|g1327569-410748| 15106| 45| 15558| 40|C |20112MRS.CTIO.0000H
13512605-3739432|g1351261-373944|  7356| 45|  7315| 16|C |20112MRS.CTIO.0000H
14014624-0410489|g1401462-041049|  7793| 45|  7813| 27|F |20112MRS.FLWO.0000H
16364636-1914400|g1636464-191440| 16874| 45| 17154| 47|F |20112MRS.FLWO.0000H
16521498-1536454|g1652150-153646|  8176| 45|  8153|109|F |20112MRS.FLWO.0000H
16552395-1554306|g1655240-155431| 13198| 45| 13197| 57|C |20112MRS.CTIO.0000H
17035400-7117311|g1703540-711731| 13073| 45| 13023| 45|C |20112MRS.CTIO.0000H
17570553-0414033|g1757055-041403|  6223| 55|  6434| 65|F |20112MRS.FLWO.0000H
17592338-5806142|g1759234-580614|  4474| 45|  4653| 54|C |20112MRS.CTIO.0000H
20303881-4218326|g2030388-421833|  5536| 45|  5616| 37|C |20112MRS.CTIO.0000H
20584138-3331231|g2058414-333124| 13150| 31| 13171| 60|C |20112MRS.CTIO.0000H
21001910-3315460|g2100191-331546| 12033| 31| 12053| 29|C |20112MRS.CTIO.0000H
21022575-3446540|g2102257-344654| 15795| 31| 15697| 28|C |20112MRS.CTIO.0000H
21051847-3412122|g2105185-341212| 20986| 45| 20997| 35|C |20112MRS.CTIO.0000H
21055664-3437038|g2105566-343704| 10448| 45| 10509| 58|C |20112MRS.CTIO.0000H
21055898-3441568|g2105590-344157| 13420| 31| 13448| 30|C |20112MRS.CTIO.0000H
