# The 2MASS Redshift Survey
# Huchra et al., ApJS, in press
#
# http://tdc-www.harvard.edu/2mrs/
# catalog version 2.4, 2011 Dec 16
# maintained by Lucas Macri, lmacri@tamu.edu
#
# Entries in original input catalogs that have been rejected -- objects have been reprocessed. Corresponds to left half of Table A2 in paper.
#
#ID               RAdeg      DECdeg       l          b        k_c    h_c    j_c    k_tc   h_tc   j_tc  e_k   e_h   e_j   e_kt  e_ht  e_jt   e_bv r_iso r_ext  b/a  flgs Comments
00143065-0710028   3.627676  -7.167447  97.551323 -68.200401 10.150 10.434 11.109  9.947 10.230 10.933 0.045 0.032 0.023 0.040 0.030 0.027 0.034 1.524 1.734 0.880 0333 Galaxy reprocessed as 00143062-0710026
00144455-0720423   3.685690  -7.345094  97.510094 -68.386513  8.771  9.056  9.734  8.656  8.949  9.617 0.023 0.016 0.013 0.022 0.016 0.013 0.037 1.721 1.873 0.700 0000 Galaxy reprocessed as 00144460-0720430
00424581-2333406  10.690921 -23.561363  93.673683 -85.930389  9.956 10.320 11.114  9.867 10.252 11.021 0.023 0.020 0.016 0.021 0.020 0.017 0.019 1.394 1.590 0.740 0000 Galaxy reprocessed as 00424586-2333418
00510187-0703247  12.757734  -7.056939 122.637596 -69.928413  9.317  9.484 10.130  9.170  9.021 10.129 0.029 0.015 0.013 0.027 0.011 0.018 0.056 1.531 1.711 0.400 0000 Galaxy reprocessed as 00510186-0703249
00545028+2914482  13.709491  29.246632 123.822525 -33.619141 10.405 10.847 11.720 10.332 10.767 11.633 0.029 0.024 0.021 0.028 0.025 0.024 0.057 1.332 1.534 0.560 0000 Galaxy reprocessed as 00545031+2914474
00564266-0954500  14.177757  -9.913924 127.312546 -72.740776  9.588  9.865 10.477  9.201  9.587 10.120 0.045 0.030 0.022 0.056 0.042 0.029 0.040 1.695 1.991 0.860 0000 Galaxy reprocessed as 00564267-0954507
01025144-6536359  15.714359 -65.609985 301.039581 -51.476257  9.107  9.396 10.174  9.107  9.396 10.174 0.035 0.028 0.023 0.017 0.014 0.012 0.019 2.040 2.040 0.140 0555 Galaxy reprocessed as 01025152-6536366
01243377+0143532  21.140732   1.731398 139.696259 -60.057713  8.801  9.104  9.780  8.571  8.930  9.591 0.035 0.026 0.021 0.033 0.026 0.021 0.032 1.818 1.984 0.980 0000 Galaxy reprocessed as 01243380+0143522
01253143+0145335  21.380943   1.759291 140.145584 -59.968311  8.598  8.855  9.567  8.433  8.695  9.399 0.029 0.020 0.017 0.027 0.019 0.016 0.031 1.793 1.941 0.760 0000 Galaxy reprocessed as 01253140+0145325
02251418-4025268  36.309116 -40.424084 253.422394 -66.525810 10.955 11.363 12.080 10.865 10.859 11.875 0.052 0.035 0.028 0.060 0.037 0.037 0.014 1.243 1.598 0.320 0000 Galaxy reprocessed as 02251422-4025268
02383270-0640386  39.636311  -6.677425 179.017944 -57.371513  8.630  8.889  9.544  8.495  8.771  9.424 0.023 0.015 0.012 0.021 0.015 0.012 0.026 1.751 1.902 0.780 0000 Galaxy reprocessed as 02383278-0640392 
03011222+4454285  45.300930  44.907936 145.799133 -12.125026  7.721  8.022  8.776  7.721  8.022  8.776 0.012 0.010 0.009 0.006 0.005 0.004 0.224 1.748 1.748 1.000 0111 Galaxy reprocessed by LGA pipeline as 03011417+4453500
03053084+4250076  46.378601  42.835495 147.546783 -13.537429  8.548  8.807  9.499  8.446  8.705  9.429 0.019 0.015 0.014 0.018 0.014 0.014 0.137 1.859 2.002 0.360 0111 Galaxy reprocessed as 03053091+4250075
03422928-1329168  55.622009 -13.488015 202.802505 -47.879734  8.577  8.868  9.521  8.371  8.680  9.306 0.021 0.014 0.011 0.022 0.014 0.012 0.068 1.989 2.218 0.240 0666 Galaxy reprocessed as 03422931-1329174 
03574256-4854409  59.427341 -48.911324 257.170258 -48.228184 10.099 10.113 11.052 10.099 10.113 11.052 0.069 0.038 0.037 0.034 0.019 0.021 0.006 1.895 1.895 0.360 0133 Galaxy reprocessed as 03574243-4854305
03593974-6738201  59.915695 -67.638885 281.373322 -40.720528  8.473  8.772  9.442  8.473  8.772  9.442 0.021 0.014 0.012 0.011 0.007 0.006 0.061 1.964 1.964 0.260 0000 Galaxy reprocessed as 03593747-6738062
04042675-0211464  61.111481  -2.196223 193.071930 -37.563614  9.952 10.191 10.719  9.952 10.191 10.719 0.056 0.039 0.025 0.028 0.019 0.013 0.166 2.041 2.041 0.120 0331 Galaxy reprocessed as 04042714-0211210
06054172-8637550  91.423447 -86.631874 299.201263 -27.746660  8.142  8.521  9.411  8.091  8.465  9.342 0.017 0.015 0.015 0.017 0.014 0.020 0.140 1.951 2.092 0.220 0000 Galaxy reprocessed as 06054236-8637553
