# The 2MASS Redshift Survey
# Huchra et al., ApJS, in press
#
# http://tdc-www.harvard.edu/2mrs/
# catalog version 2.4, 2011 Dec 16
# maintained by Lucas Macri, lmacri@tamu.edu
#
# Code "O": NED entries without cz, but ZCAT contained cz (either from literature or from JPH's earlier unpublished observations)
#
#2MASS_ID        NED_ID                         RA          DEC        TYPE   NED_CZ QUAL NED_BIBCODE         2MRS_CZ  ERR CD 2MRS_BIBCODE
00002508+0751138|UGC 12892                     |00h00m25.1s +07d51m14s|G     |      |    |                   |  12265|  36|O |20112MRS.MMT..0000H / M09231
00003295+0732582|2MASX J00003295+0732582       |00h00m32.9s +07d32m58s|G     |      |    |                   |  10017|  40|O |20112MRS.MMT..0000H / M09232
00004498+0809292|2MASX J00004498+0809292       |00h00m45.0s +08d09m29s|G     |      |    |                   |  11766|  46|O |20112MRS.MMT..0000H / M09270 
00021608+0600380|2MFGC 00028                   |00h02m16.1s +06d00m38s|G     |      |    |                   |  12131| 110|O |2000MNRAS.317...55S / in LEDA
00035421+0818099|2MASX J00035421+0818099       |00h03m54.2s +08d18m10s|G     |      |    |                   |  11784|  39|O |20112MRS.MMT..0000H / M09233
00035635+1052347|UGC 00018                     |00h03m56.4s +10d52m35s|G     |      |    |                   |   7864|  51|O |20112MRS.ZMA..0000H / T25041
00035902+0821567|2MASX J00035902+0821567       |00h03m59.1s +08d21m57s|G     |      |    |                   |  11862|  57|O |20112MRS.MMT..0000H / M09234 
00040731+0822238|2MASX J00040731+0822238       |00h04m07.3s +08d22m24s|G     |      |    |                   |  11374|  38|O |20112MRS.MMT..0000H / M09235 
00041061+0821568|2MASX J00041061+0821568       |00h04m10.6s +08d21m58s|G     |      |    |                   |  11830|  42|O |20112MRS.MMT..0000H / M09236 
00042663+2758009|CGCG 498-073                  |00h04m26.6s +27d58m01s|G     |      |    |                   |   8872|  38|O |20112MRS.ZMA..0000H / T10052
00043232+0806175|2MFGC 00061                   |00h04m32.3s +08d06m18s|G     |      |    |                   |   6198| 275|O |2000MNRAS.317...55S / in LEDA
00053426-8324293|ESO 002- G 003                |00h05m34.4s -83d24m29s|G     |      |    |                   |   8600|  60|O |1991srcp.book.....F / in LEDA
00075352+1200173|CGCG 433-024                  |00h07m53.5s +12d00m18s|G     |      |    |                   |   6422|  36|O |20112MRS.ZMA..0000H / T25042 
00161693+1722541|2MASX J00161693+1722541       |00h16m16.9s +17d22m54s|G     |      |    |                   |   5809|  37|O |1983ApJS...52...89H / M09248   
00171921+1725441|UGC 00162                     |00h17m19.2s +17d25m44s|G     |      |    |                   |   5887|  42|O |1983ApJS...52...89H / M09275   
00190183+0151084|2MASX J00190183+0151084       |00h19m01.8s +01d51m09s|G     |      |    |                   |  17611| 133|O |2000MNRAS.317...55S / in LEDA
00213681+2803019|IV Zw 015 NOTES01             |00h21m36.8s +28d03m02s|G     |      |    |                   |  28094|  42|O |20112MRS.JPH..0000H / 1992.1127
00222457+0626017|UGC 00213                     |00h22m24.6s +06d26m02s|G     |      |    |                   |  14972|  53|O |20112MRS.ZMA..0000H / T25247
00271650+4403151|UGC 00263                     |00h27m16.5s +44d03m15s|G     |      |    |                   |  16718| 105|O |2000MNRAS.317...55S / in LEDA
00272276+1050542|UGC 00266                     |00h27m22.8s +10d50m54s|G     |      |    |                   |  11814|  31|O |20112MRS.JPH..0000H /       
00293357+0507595|CGCG 409-019                  |00h29m33.6s +05d07m59s|G     |      |    |                   |  12513|  63|O |20112MRS.ZMA..0000H / T23363 
00315839+0237549|CGCG 383-034                  |00h31m58.4s +02d37m55s|G     |      |    |                   |  12891|  28|O |20112MRS.FLWO.0000H / 2000.1204
00330099+0515482|CGCG 409-031                  |00h33m01.0s +05d15m49s|G     |      |    |                   |  11746|  40|O |20112MRS.ZMA..0000H / T23382 
00345436+0538342|CGCG 409-041                  |00h34m54.3s +05d38m34s|G     |      |    |                   |  12431|  39|O |20112MRS.ZMA..0000H / T23366
