# The 2MASS Redshift Survey
# Huchra et al., ApJS, in press
#
# http://tdc-www.harvard.edu/2mrs/
# catalog version 2.4, 2011 Dec 16
# maintained by Lucas Macri, lmacri@tamu.edu
#
# Catalog of additional redshifts for galaxies not included in the 2MASS XSC. Corresponds to Table A10 of paper.
#
#ID               RAdeg     DECdeg      l         b       k_c    h_c    j_c    k_tc   h_tc   j_tc  e_k   e_h   e_j   e_kt  e_ht  e_jt   e_bv r_iso r_ext  b/a  flgs  type ts      v e_v c vsrc                CAT_ID                      
13294821-2340551 202.45088 -23.68197 314.15196  38.35252 99.999 99.999 99.999 99.999 99.999 99.999 9.999 9.999 9.999 9.999 9.999 9.999 0.082 9.999 9.999 9.999 NNNN  NN   NN   5029  52 C 20112MRS.CTIO.0000H ESO 509- G 030              
10245589-1726331 156.23289 -17.44251 260.18995  33.00615 99.999 99.999 99.999 99.999 99.999 99.999 9.999 9.999 9.999 9.999 9.999 9.999 0.074 9.999 9.999 9.999 NNNN  NN   NN   7811  43 C 20112MRS.CTIO.0000H 2MASXi J1024559-172633      
10104329-1530289 152.68038 -15.50803 255.63107  32.22906 99.999 99.999 99.999 99.999 99.999 99.999 9.999 9.999 9.999 9.999 9.999 9.999 0.071 9.999 9.999 9.999 NNNN  NN   NN   8388  29 C 20112MRS.CTIO.0000H MCG -02-26-038 NED01        
01574403-0649389  29.43346  -6.82746 163.73089 -64.31221 99.999 99.999 99.999 99.999 99.999 99.999 9.999 9.999 9.999 9.999 9.999 9.999 0.030 9.999 9.999 9.999 NNNN  NN   NN   8434  21 C 20112MRS.CTIO.0000H IRAS F01552-0704            
10324638-1238045 158.19324 -12.63459 258.21972  37.91802 99.999 99.999 99.999 99.999 99.999 99.999 9.999 9.999 9.999 9.999 9.999 9.999 0.058 9.999 9.999 9.999 NNNN  NN   NN   8491  45 C 20112MRS.CTIO.0000H NGC 3280A                   
10324555-1238140 158.18977 -12.63721 258.21856  37.91384 99.999 99.999 99.999 99.999 99.999 99.999 9.999 9.999 9.999 9.999 9.999 9.999 0.058 9.999 9.999 9.999 NNNN  NN   NN   8579  43 C 20112MRS.CTIO.0000H NGC 3280C                   
11111075-0628055 167.79479  -6.46819 263.43342  48.56259 99.999 99.999 99.999 99.999 99.999 99.999 9.999 9.999 9.999 9.999 9.999 9.999 0.058 9.999 9.999 9.999 NNNN  NN   NN   8676  14 C 20112MRS.CTIO.0000H LCRS B110837.6-061147       
03452702-0728392  56.36260  -7.47756 195.66867 -44.37823 99.999 99.999 99.999 99.999 99.999 99.999 9.999 9.999 9.999 9.999 9.999 9.999 0.058 9.999 9.999 9.999 NNNN  NN   NN  10504  31 C 20112MRS.CTIO.0000H MCG -01-10-028              
16265144-7709323 246.71447 -77.15896 313.88323 -19.14218 99.999 99.999 99.999 99.999 99.999 99.999 9.999 9.999 9.999 9.999 9.999 9.999 0.058 9.999 9.999 9.999 NNNN  NN   NN  13333  41 C 20112MRS.CTIO.0000H 2MASXi J1626514-770932      
16311208-2615525 247.80033 -26.26458 352.35159  14.87255 99.999 99.999 99.999 99.999 99.999 99.999 9.999 9.999 9.999 9.999 9.999 9.999 0.058 9.999 9.999 9.999 NNNN  NN   NN  13380  55 C 20112MRS.CTIO.0000H 2MASXi J1631120-261552      
03190550-2140362  49.77291 -21.67673 211.89912 -56.06682 99.999 99.999 99.999 99.999 99.999 99.999 9.999 9.999 9.999 9.999 9.999 9.999 0.025 9.999 9.999 9.999 NNNN  NN   NN  15624  32 C 20112MRS.CTIO.0000H 6dF J0319055-214036         
01135502-3659473  18.47924 -36.99647 278.62155 -79.04839 99.999 99.999 99.999 99.999 99.999 99.999 9.999 9.999 9.999 9.999 9.999 9.999 0.016 9.999 9.999 9.999 NNNN  NN   NN  15814  56 C 20112MRS.CTIO.0000H APMBGC 352+005+118          
16385916-6421059 249.74644 -64.35169 324.65190 -11.57246 99.999 99.999 99.999 99.999 99.999 99.999 9.999 9.999 9.999 9.999 9.999 9.999 0.150 9.999 9.999 9.999 NNNN  NN   NN  16320  46 C 20112MRS.CTIO.0000H 16385916-6421059            
23342933-6921154 353.62221 -69.35433 312.61214 -46.30073 99.999 99.999 99.999 99.999 99.999 99.999 9.999 9.999 9.999 9.999 9.999 9.999 0.041 9.999 9.999 9.999 NNNN  NN   NN  25413  49 C 20112MRS.CTIO.0000H 23342933-6921154            
